phase,dataset,model,label_fraction,design,scenario,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,pooled_reference,0.09503375506337562,0.008084070328120625,0.7889561155915674,0.012424998558620573,353.71999999999997,7.649662301914583,319.84000000000003,5.076131510423176,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,pooled_stratum,0.09537978854577618,0.009400728701929026,0.7008287059275072,0.020209216758568873,314.52,11.048660049476092,284.12,8.467034112761478,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,size_alpha,0.01404362677389811,0.0053767131380848855,0.6679662150238317,0.020783931383439525,274.78000000000003,9.901941448243589,270.8,8.758995376183286,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,equal_alpha,0.044139033629622404,0.006020872251506272,0.7508721846250295,0.009685696889541537,318.54,4.61114591686999,304.4,3.8941551644027235,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,filtered_low,0.12176241571067074,0.027316412275002692,0.8025075313342155,0.023097295638484436,371.64,21.241845494212605,325.32,8.84995919639054,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,pooled_reference,0.09503375506337562,0.008084070328120625,0.7889561155915674,0.012424998558620573,353.71999999999997,7.649662301914583,319.84000000000003,5.076131510423176,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,pooled_stratum,0.09487421418353718,0.006295307349544321,0.7836254318063038,0.011828907468283906,351.21999999999997,6.633551085203154,317.68,4.899160925891069,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,size_alpha,0.05578030628344116,0.006668791799583696,0.7661626072343841,0.0107067425318628,329.06,5.458571241634563,310.6,4.403029260255572,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,1.0,exposure_80,uniform,equal_alpha,0.038355807718024194,0.004432112152982225,0.7381818113180996,0.010017863698105709,311.28,5.123540442571591,299.26,4.388925456950338,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_graph_features,1.0,exposure_80,uniform,filtered_low,0.20203140201715192,0.025282817132316747,0.8336646009594361,0.014691074772354136,424.43999999999994,19.03582587298662,337.96,5.6997465830606036,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
