sigma,cross_multiplier,theta,neighbor_noise_fraction,all_null,method,independent_repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_mean,null_tail001_mcse,n_calib_mean,n_calib_mcse,edges_mean,edges_mcse,clipped_probability_fraction_mean,clipped_probability_fraction_mcse
1.2,1.0,2.0,0.0,0,partial_random,500,0.007849106347513627,0.0023406687132854903,0.010733333333333334,0.0031094901461572785,0.496,0.14899788165432068,0.005851851851851852,0.00028887385367966145,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.5,0,oracle_filtered,500,0.5926645305921654,0.005517811981005482,0.7106,0.007023337374003294,57.354,0.8823459847892704,0.09965185185185185,0.0016179378227033298,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.5,0,matched_random,500,0.02064702552349611,0.003782231744441207,0.026933333333333333,0.0047204496915634175,1.21,0.21274944100819299,0.009733333333333333,0.00040373764716275284,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.5,0,mixture_half,500,0.06667143937162916,0.006441472492791479,0.08733333333333333,0.008094245573280992,4.082,0.3893040808091656,0.017037037037037038,0.0006546077785017562,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.5,0,partial_filtered,500,0.13785427940896336,0.009027744657126592,0.17360000000000003,0.01102786252853839,9.008,0.5933363025602527,0.01965185185185185,0.000799708211052162,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.5,0,partial_random,500,0.011833210174758161,0.002827209765981155,0.017866666666666666,0.0040747589689014265,0.794,0.18241073255349147,0.006377777777777778,0.0003462301346906293,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,4.0,0.0,0.0,0,oracle_filtered,500,0.07593533670904393,0.0031516526130914153,0.9078666666666668,0.005223208404256028,29.786,0.2307094747153807,0.009407407407407408,0.0003986253459990513,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.0,0,matched_random,500,0.07647623278671006,0.0032553698060323187,0.9044666666666668,0.005235926626017964,29.734,0.2425120867595034,0.009748148148148148,0.0004205120314046224,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.0,0,mixture_half,500,0.07662825709264172,0.003271618029909034,0.8959333333333334,0.006295463193821455,29.476,0.26638462706972815,0.009718518518518519,0.00042031743853441567,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.0,0,partial_filtered,500,0.060889529521413514,0.0033425923077240703,0.7974666666666667,0.014150495623337917,26.008,0.48771672845457004,0.006955555555555556,0.00040351629941578343,134.784,0.8492709876245871,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.0,0,partial_random,500,0.05992684285053187,0.0031941309307184813,0.7996666666666667,0.01405288703201359,26.016,0.48077205778111337,0.006814814814814815,0.0003833687308207449,134.784,0.8492709876245871,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.5,0,oracle_filtered,500,0.08004971928151294,0.00333679327190932,0.9205333333333334,0.004046199467020935,30.344,0.21007520363518567,0.01,0.0004364681726329728,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.5,0,matched_random,500,0.07453616478672677,0.0031009768619017137,0.9158666666666667,0.004708710311165663,29.98,0.2159919095939013,0.009414814814814815,0.00040869872207107804,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.5,0,mixture_half,500,0.07591413332941359,0.0030462855018303673,0.9160000000000001,0.004859550438149792,30.02,0.21732385814410088,0.009266666666666668,0.0003801859723299121,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.5,0,partial_filtered,500,0.06510152819997964,0.0034729841765136923,0.8407333333333333,0.012483319175057721,27.476,0.4387663156619011,0.007488888888888889,0.0004487506324425337,134.784,0.8492709876245871,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,0.0,0.5,0,partial_random,500,0.06593090648981109,0.0034107653164962577,0.8389333333333334,0.012333935965345325,27.428,0.43291623315586086,0.0072370370370370375,0.00039902112674329376,134.784,0.8492709876245871,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,2.0,0.0,0,oracle_filtered,500,0.7512259742707985,0.002138559672926572,0.9786000000000001,0.0013160503110774366,121.806,0.9264628404796272,0.20710370370370368,0.002799208632915496,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,2.0,0.0,0,matched_random,500,0.06090046345871902,0.0036421704353332336,0.2884,0.012989461497605407,9.91,0.45280223025007166,0.008859259259259261,0.0003440645428598039,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,2.0,0.0,0,mixture_half,500,0.11928613374497471,0.005868829819092674,0.4162666666666667,0.01469029007809207,16.048,0.623523017945461,0.01803703703703704,0.0007042347802841122,198.972,0.19570137981148786,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,2.0,0.0,0,partial_filtered,500,0.3731247575564247,0.007918798589755565,0.7641333333333333,0.010900883790947245,41.938,0.8960994925794804,0.046,0.0015096738580279163,134.784,0.8492709876245871,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
1.2,4.0,2.0,0.0,0,partial_random,500,0.03647474555426901,0.003732294526991223,0.13379999999999997,0.01231243639405675,5.008,0.4656710976024651,0.0071111111111111115,0.00037419534577068977,134.784,0.8492709876245871,7021.316,12.970329339471249,0.00034404781762579925,6.9113123850530045e-06
